#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46027  41.852 -124.380 2021 05 26 13 40 300   2.0   3.0   MM  MM   MM  MM 1022.2    MM    MM   8.8    MM   MM     MM
46028  35.770 -121.903 2021 05 26 13 40 320  11.0  14.0   MM  MM   MM  MM 1017.2    MM  11.6  12.5  11.3   MM     MM
46029  46.143 -124.485 2021 05 26 13 40 270   3.0   5.0   MM  MM   MM  MM 1022.8    MM  10.3  11.4    MM   MM     MM
46036  48.360 -133.940 2021 05 26 13 00 240   8.0  10.0  3.5   9   MM  MM 1007.1  -0.5  10.0  11.3    MM   MM     MM
46041  47.353 -124.742 2021 05 26 13 40 170   3.0   3.0   MM  MM   MM  MM 1022.3    MM  10.8  11.4   6.7   MM     MM
46042  36.785 -122.398 2021 05 26 13 40 330   9.0  11.0   MM  MM   MM  MM 1018.3    MM  11.0  11.0    MM   MM     MM
46047  32.388 -119.525 2021 05 26 13 40 310  10.0  12.0   MM  MM   MM  MM 1016.0    MM  13.3  13.3  10.9   MM     MM
46050  44.669 -124.546 2021 05 26 13 40  30   1.0   2.0   MM  MM   MM  MM 1021.8    MM    MM  11.7    MM   MM     MM
46053  34.241 -119.839 2021 05 26 13 40 210   2.0   3.0   MM  MM  5.5 255 1015.2    MM  13.9  14.4  13.1   MM     MM
46054  34.273 -120.470 2021 05 26 13 40 320  13.0  16.0   MM  MM   MM  MM 1015.6    MM  11.3  12.7  10.6   MM     MM
46060  60.587 -146.819 2021 05 26 12 50 190   5.0   6.0  0.5  10   MM  MM 1013.5  +0.0   7.1   8.6    MM   MM     MM
46061  60.238 -146.833 2021 05 26 12 50 220   4.0   5.0  0.7  10   MM  MM 1014.1  +0.0   6.4   7.4    MM   MM     MM
46069  33.677 -120.213 2021 05 26 13 20  MM  13.0  15.0   MM  MM   MM  MM 1016.5    MM  11.3    MM    MM   MM     MM
46071  51.125  179.012 2021 05 26 12 50  MM    MM    MM  1.3   9   MM  MM 1005.0  +0.7    MM    MM    MM   MM     MM
46072  51.672 -172.088 2021 05 26 13 40  MM   1.0   4.0   MM  MM   MM  MM 1006.1    MM    MM   5.6    MM   MM     MM
46073  55.009 -172.002 2021 05 26 12 50 240   9.0  12.0  2.8   8  6.5 143 1001.1  +3.7   3.7   4.7    MM   MM     MM
46076  59.471 -148.009 2021 05 26 12 50 100   5.0   6.0  1.2  16  6.6 185 1013.4  +0.0   6.3   8.0    MM   MM     MM
46077  57.902 -154.176 2021 05 26 12 50 230  11.0  13.0  1.2   5  4.1 236 1016.5  -0.5   5.9   6.6   4.4   MM     MM
46078  55.556 -152.582 2021 05 26 12 50 280   7.0  10.0  2.0   9   MM  MM 1019.5  -0.4   5.7   7.0    MM   MM     MM
46081  60.802 -148.283 2021 05 26 12 50 130   7.0   9.0  0.2  MM  2.4  MM 1013.2  +0.6   8.8   9.9   7.0   MM     MM
46082  59.681 -143.372 2021 05 26 12 50  MM    MM    MM  1.2  10  8.3 228 1014.3  +0.0   6.4   8.2    MM   MM     MM
46083  58.270 -138.019 2021 05 26 12 50  MM   4.0   5.0  1.0  16   MM  MM 1014.6  +0.0    MM   8.3    MM   MM     MM
46084  56.622 -136.102 2021 05 26 13 40 110   4.0   5.0   MM  MM   MM  MM 1014.1    MM   7.9   8.7   7.0   MM     MM
46085  55.883 -142.882 2021 05 26 13 40 270   4.0   5.0   MM  MM   MM  MM 1016.1    MM   6.6   7.5   4.8   MM     MM
46086  32.499 -118.052 2021 05 26 13 40 300   6.0   8.0   MM  MM   MM  MM 1015.2    MM  14.8  15.2  13.1   MM     MM
46088  48.332 -123.179 2021 05 26 13 40 190   3.0   4.0   MM  MM   MM  MM 1021.7    MM   9.8   9.5   8.2   MM     MM
46089  45.937 -125.793 2021 05 26 13 40 210   4.0   5.0   MM  MM   MM  MM 1022.1    MM  11.2  12.3   7.8   MM     MM
46092  36.751 -122.029 2021 05 26 13 16 290   5.0    MM   MM  MM   MM  MM 1017.0  +0.5   9.8  10.8    MM   MM     MM
46097  44.639 -124.304 2021 05 26 11 50  10   2.0    MM   MM  MM   MM  MM 1022.4    MM  11.3  12.0    MM   MM     MM
46098  44.381 -124.956 2021 05 26 11 50 350   3.0    MM   MM  MM   MM  MM 1022.6    MM  11.3  12.3    MM   MM     MM
46099  46.986 -124.566 2021 05 26 11 50 160   2.0    MM   MM  MM   MM  MM 1021.5    MM  10.7  10.9    MM   MM     MM
46100  46.851 -124.972 2021 05 26 11 50 220   3.0    MM   MM  MM   MM  MM 1021.4    MM    MM  12.0    MM   MM     MM
46108  59.596 -151.829 2021 05 26 13 30  MM    MM    MM  1.1   7  5.2 223     MM    MM   8.0   6.2    MM   MM     MM
46114  36.700 -122.343 2021 05 26 13 26  MM    MM    MM  2.2   8  6.2 314     MM    MM    MM  10.7    MM   MM     MM
46128  43.292 -124.538 2021 05 26 13 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  10.4    MM   MM     MM
46131  49.910 -124.980 2021 05 26 13 00 180   7.0   9.0  0.3   2   MM  MM 1018.4  -0.2  12.6    MM    MM   MM     MM
46132  49.780 -127.890 2021 05 26 13 00 130  10.0  13.0  1.2   4   MM  MM 1017.0  -1.9   9.8  10.0    MM   MM     MM
46145  54.370 -132.420 2021 05 26 13 00 140   7.0   8.0  0.5  12   MM  MM 1012.7  -2.0   8.6   9.4    MM   MM     MM
46146  49.340 -123.730 2021 05 26 14 00 150   8.0  10.0  0.6   3   MM  MM 1020.2  +0.2  12.2  12.9    MM   MM     MM
46147  51.830 -131.220 2021 05 26 13 00 110  11.0  13.0  1.5   5   MM  MM 1009.6  -4.3   8.0   9.4    MM   MM     MM
46181  53.830 -128.830 2021 05 26 13 00 350   2.0   3.0   MM   2   MM  MM 1015.6  -1.6    MM  12.2    MM   MM     MM
46183  53.620 -131.100 2021 05 26 13 00 130   8.0  10.0  0.5   4   MM  MM 1013.1  -1.8   8.1   9.8    MM   MM     MM
46184  53.920 -138.850 2021 05 26 13 00  30   8.0   9.0   MM  15   MM  MM 1013.6  -0.3   7.5   8.1    MM   MM     MM
46185  52.420 -129.790 2021 05 26 13 00 150  11.0  13.0  1.0  14   MM  MM 1013.2  -2.6   8.5  10.7    MM   MM     MM
46204  51.380 -128.770 2021 05 26 13 00 150  12.0  15.0  1.4   5   MM  MM 1014.5  -2.4   9.3  10.8    MM   MM     MM
46205  54.180 -134.320 2021 05 26 13 00  60   7.0   8.0  1.0  16   MM  MM 1012.6  -1.4   8.1   9.2    MM   MM     MM
